CatalogEntry,,,,,,,,,,,,,,
PartNumber,Type,ParentPartNumber,Sequence,ParentGroupIdentifier,CurrencyCode,ListPrice,Price,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Delete
Cords,Product,,1,Pants,USD,30,25,Men's corduroy pants,Men's 8-wale corduroy pants ,Men's 8-wale corduroy pants provide style and comfort.,images/catalog/mens_pants_cords_sm.gif,images/catalog/mens_pants_cords.gif,1,0
Cords-Black-29W x 28L,Item,Cords,1,Pants,USD,30,25,Men's corduroy pants - Black 29W x 28L,Men's corduroy pants - Black 29 Width x 28 Length,"Fabric 50% cotton, 50% polyester.",images/catalog/mens_pants_cords_sm.gif,images/catalog/mens_pants_cords.gif,1,0
Cords-Brown-29W x 28L,Item,Cords,2,Pants,USD,30,25,Men's corduroy pants - Brown 29W x 28L,Men's corduroy pants - Brown 29 Width x 28 Length,"Fabric 50% cotton, 50% polyester.",images/catalog/mens_pants_cords_sm.gif,images/catalog/mens_pants_cords.gif,1,0
Classic pleated dress pant,Product,,2,Pants,USD,40,35,Classic pleated dress pants,Wrinkle-free 5 pocket classic pleated dress pant,"Engineered for comfort, style, and durability.",images/catalog/mens_pants_dress_sm.gif,images/catalog/mens_pants_dress.gif,1,0
Classic pleated dress pant-Black-29W x 32L,Item,Classic pleated dress pant,1,Pants,USD,40,35,Classic pleated dress pants - Black-29W x 32L,Classic pleated dress pants - Black 29 Width x 32 Length,"Fabric 95% cotton, 5% spandex.",images/catalog/mens_pants_dress_sm.gif,images/catalog/mens_pants_dress.gif,1,0
Dress shirt,Product,,1,Shirts,USD,33,28,Dress shirt,Solid color button-down dress shirt,Stay cool and stylish with this breathable cotton dress shirt.,images/catalog/mens_shirts_dresscas_Dkhaki_sm.gif,images/catalog/mens_shirts_dresscas_Dkhaki.gif,1,0
Dress shirt-White-15,Item,Dress shirt,1,Shirts,USD,33,28,Dress shirt-White-15,Dress shirt - White - 15 collar - 32 Sleeve,100% cotton. Dry clean only.,images/catalog/mens_shirts_dresscas_Dkhaki_sm.gif,images/catalog/mens_shirts_dresscas_Dkhaki.gif,1,0
Dress shirt-White-16,Item,Dress shirt,2,Shirts,USD,33,28,Dress shirt-White-16,Dress shirt - White - 16 collar - 35 Sleeve,100% cotton. Dry clean only.,images/catalog/mens_shirts_dresscas_Dkhaki_sm.gif,images/catalog/mens_shirts_dresscas_Dkhaki.gif,1,0
Casual shirt,Product,,2,Shirts,USD,37,32,Casual shirt,Solid color button down casual shirt,"Low maintenance wrinkle-free shirts, for everyday use.",images/catalog/mens_shirts_dresscas_Dkhaki_sm.gif,images/catalog/mens_shirts_dresscas_Dkhaki.gif,1,0
Casual shirt-White-Small,Item,Casual shirt,1,Shirts,USD,37,32,Casual shirt-White-Small,Casual shirt - White - Small. Wrinkle free,100% cotton. Machine washable.,images/catalog/mens_shirts_dresscas_Dkhaki_sm.gif,images/catalog/mens_shirts_dresscas_Dkhaki.gif,1,0
Casual shirt-Blue-Medium,Item,Casual shirt,2,Shirts,USD,37,32,Casual shirt-Blue-Medium,Casual shirt - Blue - Medium. Wrinkle free,100% cotton. Machine washable.,images/catalog/mens_shirts_dresscas_Dkhaki_sm.gif,images/catalog/mens_shirts_dresscas_Dkhaki.gif,1,0
Bodysuit,Product,,1,Activewear,USD,17,12,Bodysuit,Women's bodysuit,Women's one piece bodysuits with V-neck collars. Made from durable lyrca spandex fabric.,images/catalog/womens_sleepwear_short_Iblue_sm.gif,images/catalog/womens_sleepwear_short_Iblue.gif,1,0
Bodysuit-Black-Petit,Item,Bodysuit,1,Activewear,USD,17,12,Bodysuit-Black-Petit,Women's Bodysuit - Black - Petit,"Machine wash in cold water, gentle cycle drip dry. ",images/catalog/womens_sleepwear_short_Iblue_sm.gif,images/catalog/womens_sleepwear_short_Iblue.gif,1,0
